Understat_ID, FPL_ID, Understat_Name, FPL_Name
755,166,Jamie Vardy,Jamie Vardy
318,11,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang
986,313,Danny Ings,Danny Ings
618,214,Raheem Sterling,Raheem Sterling
1250,191,Mohamed Salah,Mohamed Salah
647,338,Harry Kane,Harry Kane
838,192,Sadio Mané,Sadio Mané
553,239,Anthony Martial,Anthony Martial
556,233,Marcus Rashford,Marcus Rashford
4105,409,Raúl Jiménez,Raúl Jiménez
619,210,Sergio Agüero,Sergio Agüero
702,460,Tammy Abraham,Tammy Abraham
447,215,Kevin De Bruyne,Kevin De Bruyne
4456,91,Chris Wood,Chris Wood
5543,-1,Gabriel Jesus,
5555,147,Dominic Calvert-Lewin,Dominic Calvert-Lewin
6026,-1,Richarlison,
453,-1,Son Heung-Min,
750,217,Riyad Mahrez,Riyad Mahrez
7696,278,Teemu Pukki,Teemu Pukki
531,389,Michail Antonio,Michail Antonio
574,362,Troy Deeney,Troy Deeney
3277,12,Alexandre Lacazette,Alexandre Lacazette
3621,502,Neal Maupay,Neal Maupay
7490,234,Mason Greenwood,Mason Greenwood
482,187,Roberto Firmino,Roberto Firmino
672,468,Jordan Ayew,Jordan Ayew
700,-1,Willian,
2662,431,Christian Pulisic,Christian Pulisic
468,67,Callum Wilson,Callum Wilson
502,110,Olivier Giroud,Olivier Giroud
645,-1,Dele Alli,
675,29,Jack Grealish,Jack Grealish
770,265,Ayoze Pérez,Ayoze Pérez
844,451,Jay Rodriguez,Jay Rodriguez
1228,-1,Bruno Fernandes,
5596,505,Harry Wilson,Harry Wilson
6144,457,Sébastien Haller,Sébastien Haller
6854,410,Diogo Jota,Diogo Jota
7768,463,Mason Mount,Mason Mount
465,68,Joshua King,Joshua King
769,269,Jonjo Shelvey,Jonjo Shelvey
1736,501,Oliver McBurnie,Oliver McBurnie
1748,70,Lys Mousset,Lys Mousset
3635,-1,Bernardo Silva,
4422,90,Ashley Barnes,Ashley Barnes
6681,172,Harvey Barnes,Harvey Barnes
6818,171,James Maddison,James Maddison
7695,287,Todd Cantwell,Todd Cantwell
7722,-1,Trézéguet,
617,219,David Silva,David Silva
620,167,Kelechi Iheanacho,Kelechi Iheanacho
833,183,Virgil van Dijk,Virgil van Dijk
843,321,James Ward-Prowse,James Ward-Prowse
1691,393,Robert Snodgrass,Robert Snodgrass
5656,-1,Nicolas Pepe,
5675,-1,Ismaila Sarr,
6055,220,Phil Foden,Phil Foden
6274,392,Andriy Yarmolenko,Andriy Yarmolenko
6893,323,Stuart Armstrong,Stuart Armstrong
7698,421,Leandro Trossard,Leandro Trossard
7708,297,John Lundstram,John Lundstram
7709,301,John Fleck,John Fleck
7724,-1,Wesley,
484,188,Divock Origi,Divock Origi
522,133,Wilfried Zaha,Wilfried Zaha
533,396,Mark Noble,Mark Noble
591,363,Gerard Deulofeu,Gerard Deulofeu
605,198,Jordan Henderson,Jordan Henderson
743,554,Dwight Gayle,Dwight Gayle
771,199,Georginio Wijnaldum,Georginio Wijnaldum
790,320,Nathan Redmond,Nathan Redmond
900,417,Adama Traoré,Adama Traoré
966,193,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain
1389,-1,Jorginho,
1621,103,Marcos Alonso,Marcos Alonso
1726,368,Abdoulaye Doucouré,Abdoulaye Doucouré
1791,182,Trent Alexander-Arnold,Trent Alexander-Arnold
3293,-1,Lucas Moura,
5612,30,Anwar El Ghazi,Anwar El Ghazi
6852,401,Matt Doherty,Matt Doherty
7236,420,Leander Dendoncker,Leander Dendoncker
7420,266,Miguel Almirón,Miguel Almirón
7700,437,Che Adams,Che Adams
101,500,Allan Saint-Maximin,Allan Saint-Maximin
462,81,Dan Gosling,Dan Gosling
463,77,Junior Stanislas,Junior Stanislas
534,376,Aaron Cresswell,Aaron Cresswell
730,123,Patrick van Aanholt,Patrick van Aanholt
751,-1,N&#039;Golo Kanté,
757,137,Jeffrey Schlupp,Jeffrey Schlupp
782,-1,Ben Chilwell,
1679,69,Dominic Solanke,Dominic Solanke
1723,369,Roberto Pereyra,Roberto Pereyra
2496,-1,Rodri,
3203,381,Issa Diop,Issa Diop
3303,-1,Ricardo Pereira,
5549,134,Luka Milivojevic,Luka Milivojevic
5560,248,Scott McTominay,Scott McTominay
5595,243,Daniel James,Daniel James
5956,448,Youri Tielemans,Youri Tielemans
6048,42,Lewis Dunk,Lewis Dunk
6122,-1,Douglas Luiz,
6382,-1,Pedro Neto,
6504,314,Michael Obafemi,Michael Obafemi
7063,-1,Bernard,
7699,493,Adam Webster,Adam Webster
7712,298,Billy Sharp,Billy Sharp
7721,28,Conor Hourihane,Conor Hourihane
7723,31,John McGinn,John McGinn
7752,-1,Gabriel Martinelli,
7991,534,Aaron Connolly,Aaron Connolly
8288,616,Tomas Soucek,Tomas Soucek
8300,615,Steven Bergwijn,Steven Bergwijn
76,252,Fabian Schär,Fabian Schär
87,-1,Joelinton,
239,49,Pascal Groß,Pascal Groß
314,222,Ilkay Gündogan,Ilkay Gündogan
371,-1,Sokratis,
461,251,Matt Ritchie,Matt Ritchie
489,200,James Milner,James Milner
501,512,Danny Welbeck,Danny Welbeck
503,153,Theo Walcott,Theo Walcott
528,377,Angelo Ogbonna,Angelo Ogbonna
579,59,Nathan Aké,Nathan Aké
606,129,Christian Benteke,Christian Benteke
611,208,Nicolás Otamendi,Nicolás Otamendi
639,331,Toby Alderweireld,Toby Alderweireld
644,346,Erik Lamela,Erik Lamela
646,343,Christian Eriksen,Christian Eriksen
669,101,Ashley Westwood,Ashley Westwood
681,105,César Azpilicueta,César Azpilicueta
708,254,Federico Fernández,Federico Fernández
714,151,Gylfi Sigurdsson,Gylfi Sigurdsson
762,175,Demarai Gray,Demarai Gray
772,349,Moussa Sissoko,Moussa Sissoko
804,439,Craig Dawson,Craig Dawson
839,315,Shane Long,Shane Long
875,259,Ciaran Clark,Ciaran Clark
1017,92,Matej Vydra,Matej Vydra
1024,445,Tyrone Mings,Tyrone Mings
1304,496,Moise Kean,Moise Kean
1653,143,Michael Keane,Michael Keane
1660,364,Andre Gray,Andre Gray
1665,84,James Tarkowski,James Tarkowski
1676,-1,David Luiz,
1688,181,Andrew Robertson,Andrew Robertson
1746,100,Jeff Hendrick,Jeff Hendrick
1822,104,Antonio Rüdiger,Antonio Rüdiger
2280,-1,Jonny,
2335,399,Pablo Fornals,Pablo Fornals
3420,-1,Fabinho,
3491,-1,Romain Saiss,
4918,487,Patrick Cutrone,Patrick Cutrone
5073,257,Florian Lejeune,Florian Lejeune
5247,196,Naby Keita,Naby Keita
5545,176,Wilfred Ndidi,Wilfred Ndidi
5962,-1,Tanguy NDombele Alvaro,
6033,516,Aaron Mooy,Aaron Mooy
6143,498,Jetro Willems,Jetro Willems
6477,146,Cenk Tosun,Cenk Tosun
6482,-1,Eddie Nketiah,
