Understat_ID, FPL_ID, Understat_Name, FPL_Name
1250,234,Mohamed Salah,Mohamed Salah
647,394,Harry Kane,Harry Kane
619,257,Sergio Agüero,Sergio Agüero
755,209,Jamie Vardy,Jamie Vardy
618,247,Raheem Sterling,Raheem Sterling
594,285,Romelu Lukaku,Romelu Lukaku
482,235,Roberto Firmino,Roberto Firmino
3277,28,Alexandre Lacazette,Alexandre Lacazette
5543,-1,Gabriel Jesus,
453,-1,Son Heung-Min,
701,104,Eden Hazard,Eden Hazard
750,199,Riyad Mahrez,Riyad Mahrez
882,71,Glenn Murray,Glenn Murray
865,340,Marko Arnautovic,Marko Arnautovic
1804,472,Álvaro Morata,Álvaro Morata
318,616,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang
337,255,Leroy Sané,Leroy Sané
629,161,Wayne Rooney,Wayne Rooney
646,387,Christian Eriksen,Christian Eriksen
838,230,Sadio Mané,Sadio Mané
4456,518,Chris Wood,Chris Wood
5549,132,Luka Milivojevic,Luka Milivojevic
498,14,Alexis Sánchez,Alexis Sánchez
522,126,Wilfried Zaha,Wilfried Zaha
553,280,Anthony Martial,Anthony Martial
617,248,David Silva,David Silva
645,-1,Dele Alli,
4422,93,Ashley Barnes,Ashley Barnes
191,-1,Chicharito,
447,252,Kevin De Bruyne,Kevin De Bruyne
465,51,Joshua King,Joshua King
468,48,Callum Wilson,Callum Wilson
558,279,Jesse Lingard,Jesse Lingard
599,548,Oumar Niasse,Oumar Niasse
770,302,Ayoze Pérez,Ayoze Pérez
888,342,Xherdan Shaqiri,Xherdan Shaqiri
239,70,Pascal Groß,Pascal Groß
488,226,Philippe Coutinho,Philippe Coutinho
502,25,Olivier Giroud,Olivier Giroud
504,18,Aaron Ramsey,Aaron Ramsey
556,284,Marcus Rashford,Marcus Rashford
672,373,Jordan Ayew,Jordan Ayew
813,435,Salomón Rondón,Salomón Rondón
844,437,Jay Rodriguez,Jay Rodriguez
848,326,Charlie Austin,Charlie Austin
1621,100,Marcos Alonso,Marcos Alonso
1726,414,Abdoulaye Doucouré,Abdoulaye Doucouré
3800,188,Steve Mounie,Steve Mounie
700,-1,Willian,
743,301,Dwight Gayle,Dwight Gayle
754,211,Shinji Okazaki,Shinji Okazaki
840,318,Dusan Tadic,Dusan Tadic
868,348,Mame Biram Diouf,Mame Biram Diouf
1740,282,Paul Pogba,Paul Pogba
3635,-1,Bernardo Silva,
6038,187,Laurent Depoitre,Laurent Depoitre
339,497,Eric Maxim Choupo-Moting,Eric Maxim Choupo-Moting
463,42,Junior Stanislas,Junior Stanislas
495,10,Nacho Monreal,Nacho Monreal
501,26,Danny Welbeck,Danny Welbeck
535,453,Manuel Lanzini,Manuel Lanzini
574,417,Troy Deeney,Troy Deeney
614,-1,Fernandinho,
633,127,James McArthur,James McArthur
702,374,Tammy Abraham,Tammy Abraham
730,124,Patrick van Aanholt,Patrick van Aanholt
872,347,Peter Crouch,Peter Crouch
1383,327,Manolo Gabbiadini,Manolo Gabbiadini
1660,92,Andre Gray,Andre Gray
1683,47,Ryan Fraser,Ryan Fraser
1723,415,Roberto Pereyra,Roberto Pereyra
6026,-1,Richarlison,
6231,-1,José Izquierdo,
6477,592,Cenk Tosun,Cenk Tosun
314,253,Ilkay Gündogan,Ilkay Gündogan
499,16,Mesut Özil,Mesut Özil
533,450,Mark Noble,Mark Noble
611,245,Nicolás Otamendi,Nicolás Otamendi
628,263,Chris Smalling,Chris Smalling
630,275,Marouane Fellaini,Marouane Fellaini
687,-1,Pedro,
714,359,Gylfi Sigurdsson,Gylfi Sigurdsson
735,52,Jermain Defoe,Jermain Defoe
866,-1,Joselu,
1661,91,Sam Vokes,Sam Vokes
5555,159,Dominic Calvert-Lewin,Dominic Calvert-Lewin
6033,172,Aaron Mooy,Aaron Mooy
317,281,Henrikh Mkhitaryan,Henrikh Mkhitaryan
461,295,Matt Ritchie,Matt Ritchie
500,21,Alex Iwobi,Alex Iwobi
503,15,Theo Walcott,Theo Walcott
520,130,Bakary Sako,Bakary Sako
530,117,James Tomkins,James Tomkins
531,454,Michail Antonio,Michail Antonio
537,457,Andy Carroll,Andy Carroll
541,102,Victor Moses,Victor Moses
554,274,Juan Mata,Juan Mata
604,227,Emre Can,Emre Can
606,134,Christian Benteke,Christian Benteke
620,258,Kelechi Iheanacho,Kelechi Iheanacho
627,267,Antonio Valencia,Antonio Valencia
713,449,André Ayew,André Ayew
762,203,Demarai Gray,Demarai Gray
764,404,Daryl Janmaat,Daryl Janmaat
766,290,Jamaal Lascelles,Jamaal Lascelles
784,201,Andy King,Andy King
843,317,James Ward-Prowse,James Ward-Prowse
883,316,Steven Davis,Steven Davis
966,19,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain
1690,519,Sam Clucas,Sam Clucas
1699,12,Shkodran Mustafi,Shkodran Mustafi
2065,208,Vicente Iborra,Vicente Iborra
2244,-1,Danilo,
4497,62,Anthony Knockaert,Anthony Knockaert
6036,173,Rajiv van La Parra,Rajiv van La Parra
342,13,Sead Kolasinac,Sead Kolasinac
458,33,Steve Cook,Steve Cook
460,41,Andrew Surman,Andrew Surman
462,43,Dan Gosling,Dan Gosling
480,337,Joe Allen,Joe Allen
481,45,Jordon Ibe,Jordon Ibe
483,236,Daniel Sturridge,Daniel Sturridge
492,7,Héctor Bellerín,Héctor Bellerín
494,4,Laurent Koscielny,Laurent Koscielny
532,451,Cheikhou Kouyaté,Cheikhou Kouyaté
542,452,Pedro Obiang,Pedro Obiang
579,38,Nathan Aké,Nathan Aké
588,138,Leighton Baines,Leighton Baines
602,215,Dejan Lovren,Dejan Lovren
622,542,Wilfried Bony,Wilfried Bony
631,277,Ashley Young,Ashley Young
644,386,Erik Lamela,Erik Lamela
656,458,Diafra Sakho,Diafra Sakho
660,381,Ben Davies,Ben Davies
668,155,Idrissa Gueye,Idrissa Gueye
681,97,César Azpilicueta,César Azpilicueta
686,105,Cesc Fàbregas,Cesc Fàbregas
688,108,Ruben Loftus-Cheek,Ruben Loftus-Cheek
689,-1,Kenedy,
712,90,Jack Cork,Jack Cork
723,-1,Ki Sung-yueng,
753,200,Marc Albrighton,Marc Albrighton
775,131,Andros Townsend,Andros Townsend
804,424,Craig Dawson,Craig Dawson
807,423,Jonny Evans,Jonny Evans
839,325,Shane Long,Shane Long
845,308,Maya Yoshida,Maya Yoshida
875,289,Ciaran Clark,Ciaran Clark
1042,156,Tom Davies,Tom Davies
1512,-1,João Mário,
1659,82,Scott Arfield,Scott Arfield
1663,84,Johann Berg Gudmundsson,Johann Berg Gudmundsson
1678,113,Michy Batshuayi,Michy Batshuayi
1687,198,Harry Maguire,Harry Maguire
1689,426,Jake Livermore,Jake Livermore
1725,403,Christian Kabasele,Christian Kabasele
1727,357,Alfie Mawson,Alfie Mawson
1734,322,Sofiane Boufal,Sofiane Boufal
1735,313,Jack Stephens,Jack Stephens
1737,432,Matt Phillips,Matt Phillips
1738,436,Hal Robson-Kanu,Hal Robson-Kanu
1746,86,Jeff Hendrick,Jeff Hendrick
1748,50,Lys Mousset,Lys Mousset
1764,345,Ramadan Sobhi,Ramadan Sobhi
1822,103,Antonio Rüdiger,Antonio Rüdiger
2344,300,Christian Atsu,Christian Atsu
3429,463,Tiemoué Bakayoko,Tiemoué Bakayoko
3600,532,Serge Aurier,Serge Aurier
3979,-1,Ahmed Hegazy,
4046,72,Tomer Hemed,Tomer Hemed
4454,182,Tom Ince,Tom Ince
4471,298,Mohamed Diamé,Mohamed Diamé
6104,416,Will Hughes,Will Hughes
6525,-1,Badou Ndiaye,
204,23,Granit Xhaka,Granit Xhaka
248,181,Elias Kachunga,Elias Kachunga
265,220,Ragnar Klavan,Ragnar Klavan
332,219,Joel Matip,Joel Matip
459,34,Charlie Daniels,Charlie Daniels
485,221,Mamadou Sakho,Mamadou Sakho
507,5,Per Mertesacker,Per Mertesacker
512,118,Scott Dann,Scott Dann
518,147,Yannick Bolasie,Yannick Bolasie
528,444,Angelo Ogbonna,Angelo Ogbonna
534,443,Aaron Cresswell,Aaron Cresswell
567,402,Miguel Britos,Miguel Britos
572,409,Etienne Capoue,Etienne Capoue
590,151,Gareth Barry,Gareth Barry
591,609,Gerard Deulofeu,Gerard Deulofeu
596,408,Tom Cleverley,Tom Cleverley
605,225,Jordan Henderson,Jordan Henderson
612,244,Vincent Kompany,Vincent Kompany
648,427,Nacer Chadli,Nacer Chadli
655,441,James Collins,James Collins
697,107,Nemanja Matic,Nemanja Matic
708,354,Federico Fernández,Federico Fernández
709,143,Ashley Williams,Ashley Williams
711,365,Leroy Fer,Leroy Fer
751,-1,N&#039;Golo Kanté,
752,202,Daniel Drinkwater,Daniel Drinkwater
756,210,Leonardo Ulloa,Leonardo Ulloa
769,296,Jonjo Shelvey,Jonjo Shelvey
771,232,Georginio Wijnaldum,Georginio Wijnaldum
772,393,Moussa Sissoko,Moussa Sissoko
773,303,Aleksandar Mitrovic,Aleksandar Mitrovic
778,516,Henri Saivet,Henri Saivet
789,87,Robbie Brady,Robbie Brady
790,324,Nathan Redmond,Nathan Redmond
809,346,Darren Fletcher,Darren Fletcher
814,430,James McClean,James McClean
815,593,Alex Pritchard,Alex Pritchard
825,35,Adam Smith,Adam Smith
836,389,Victor Wanyama,Victor Wanyama
842,-1,Oriol Romeu,
876,246,Fabian Delph,Fabian Delph
881,39,Harry Arter,Harry Arter
886,330,Ryan Shawcross,Ryan Shawcross
935,99,Kurt Zouma,Kurt Zouma
986,237,Danny Ings,Danny Ings
990,428,James Morrison,James Morrison
