Understat_ID, FPL_ID, Understat_Name, FPL_Name
318,23,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang
838,251,Sadio Mané,Sadio Mané
1250,253,Mohamed Salah,Mohamed Salah
619,280,Sergio Agüero,Sergio Agüero
755,234,Jamie Vardy,Jamie Vardy
618,270,Raheem Sterling,Raheem Sterling
647,372,Harry Kane,Harry Kane
701,122,Eden Hazard,Eden Hazard
468,43,Callum Wilson,Callum Wilson
714,172,Gylfi Sigurdsson,Gylfi Sigurdsson
882,62,Glenn Murray,Glenn Murray
1740,302,Paul Pogba,Paul Pogba
3277,22,Alexandre Lacazette,Alexandre Lacazette
4105,437,Raúl Jiménez,Raúl Jiménez
6026,-1,Richarlison,
453,-1,Son Heung-Min,
465,45,Joshua King,Joshua King
482,257,Roberto Firmino,Roberto Firmino
594,306,Romelu Lukaku,Romelu Lukaku
770,326,Ayoze Pérez,Ayoze Pérez
4422,85,Ashley Barnes,Ashley Barnes
5549,150,Luka Milivojevic,Luka Milivojevic
773,480,Aleksandar Mitrovic,Aleksandar Mitrovic
813,493,Salomón Rondón,Salomón Rondón
337,275,Leroy Sané,Leroy Sané
522,151,Wilfried Zaha,Wilfried Zaha
553,301,Anthony Martial,Anthony Martial
556,305,Marcus Rashford,Marcus Rashford
591,394,Gerard Deulofeu,Gerard Deulofeu
865,417,Marko Arnautovic,Marko Arnautovic
3293,-1,Lucas Moura,
4456,87,Chris Wood,Chris Wood
574,396,Troy Deeney,Troy Deeney
1208,-1,Felipe Anderson,
6854,432,Diogo Jota,Diogo Jota
646,364,Christian Eriksen,Christian Eriksen
687,-1,Pedro,
191,-1,Chicharito,
750,223,Riyad Mahrez,Riyad Mahrez
843,338,James Ward-Prowse,James Ward-Prowse
986,258,Danny Ings,Danny Ings
1660,395,Andre Gray,Andre Gray
1683,40,Ryan Fraser,Ryan Fraser
3635,-1,Bernardo Silva,
5543,-1,Gabriel Jesus,
6818,233,James Maddison,James Maddison
6820,42,David Brooks,David Brooks
154,478,André Schürrle,André Schürrle
314,274,Ilkay Gündogan,Ilkay Gündogan
317,18,Henrikh Mkhitaryan,Henrikh Mkhitaryan
531,415,Michail Antonio,Michail Antonio
617,271,David Silva,David Silva
688,132,Ruben Loftus-Cheek,Ruben Loftus-Cheek
775,149,Andros Townsend,Andros Townsend
790,343,Nathan Redmond,Nathan Redmond
888,462,Xherdan Shaqiri,Xherdan Shaqiri
1723,391,Roberto Pereyra,Roberto Pereyra
5555,175,Dominic Calvert-Lewin,Dominic Calvert-Lewin
489,254,James Milner,James Milner
499,13,Mesut Özil,Mesut Özil
503,164,Theo Walcott,Theo Walcott
533,411,Mark Noble,Mark Noble
645,-1,Dele Alli,
839,347,Shane Long,Shane Long
1293,579,Gonzalo Higuaín,Gonzalo Higuaín
