Understat_ID, FPL_ID, Understat_Name, FPL_Name
647,403,Harry Kane,Harry Kane
594,143,Romelu Lukaku,Romelu Lukaku
498,12,Alexis Sánchez,Alexis Sánchez
619,239,Sergio Agüero,Sergio Agüero
802,-1,Diego Costa,
645,-1,Dele Alli,
1741,272,Zlatan Ibrahimovic,Zlatan Ibrahimovic
465,48,Joshua King,Joshua King
701,82,Eden Hazard,Eden Hazard
606,213,Christian Benteke,Christian Benteke
735,355,Jermain Defoe,Jermain Defoe
1728,500,Fernando Llorente,Fernando Llorente
453,-1,Son Heung-Min,
488,203,Philippe Coutinho,Philippe Coutinho
755,184,Jamie Vardy,Jamie Vardy
838,212,Sadio Mané,Sadio Mané
502,25,Olivier Giroud,Olivier Giroud
482,209,Roberto Firmino,Roberto Firmino
503,13,Theo Walcott,Theo Walcott
574,425,Troy Deeney,Troy Deeney
1661,67,Sam Vokes,Sam Vokes
531,464,Michail Antonio,Michail Antonio
687,-1,Pedro,
714,368,Gylfi Sigurdsson,Gylfi Sigurdsson
1660,68,Andre Gray,Andre Gray
1715,478,Álvaro Negredo,Álvaro Negredo
486,205,Adam Lallana,Adam Lallana
499,14,Mesut Özil,Mesut Özil
535,462,Manuel Lanzini,Manuel Lanzini
646,394,Christian Eriksen,Christian Eriksen
700,-1,Willian,
813,449,Salomón Rondón,Salomón Rondón
463,42,Junior Stanislas,Junior Stanislas
484,217,Divock Origi,Divock Origi
489,208,James Milner,James Milner
522,111,Wilfried Zaha,Wilfried Zaha
537,468,Andy Carroll,Andy Carroll
572,416,Etienne Capoue,Etienne Capoue
618,228,Raheem Sterling,Raheem Sterling
790,304,Nathan Redmond,Nathan Redmond
872,336,Peter Crouch,Peter Crouch
1682,567,Islam Slimani,Islam Slimani
1691,155,Robert Snodgrass,Robert Snodgrass
5543,-1,Gabriel Jesus,
447,235,Kevin De Bruyne,Kevin De Bruyne
468,49,Callum Wilson,Callum Wilson
480,202,Joe Allen,Joe Allen
554,256,Juan Mata,Juan Mata
699,78,Gary Cahill,Gary Cahill
711,375,Leroy Fer,Leroy Fer
713,374,André Ayew,André Ayew
750,176,Riyad Mahrez,Riyad Mahrez
771,485,Georginio Wijnaldum,Georginio Wijnaldum
806,436,Gareth McAuley,Gareth McAuley
826,52,Benik Afobe,Benik Afobe
848,314,Charlie Austin,Charlie Austin
865,331,Marko Arnautovic,Marko Arnautovic
1621,561,Marcos Alonso,Marcos Alonso
4422,70,Ashley Barnes,Ashley Barnes
337,489,Leroy Sané,Leroy Sané
556,271,Marcus Rashford,Marcus Rashford
592,134,Ross Barkley,Ross Barkley
604,204,Emre Can,Emre Can
629,269,Wayne Rooney,Wayne Rooney
633,114,James McArthur,James McArthur
648,392,Nacer Chadli,Nacer Chadli
686,83,Cesc Fàbregas,Cesc Fàbregas
730,344,Patrick van Aanholt,Patrick van Aanholt
844,311,Jay Rodriguez,Jay Rodriguez
878,-1,Yaya Touré,
990,441,James Morrison,James Morrison
1678,96,Michy Batshuayi,Michy Batshuayi
1740,503,Paul Pogba,Paul Pogba
317,268,Henrikh Mkhitaryan,Henrikh Mkhitaryan
459,33,Charlie Daniels,Charlie Daniels
516,118,Yohan Cabaye,Yohan Cabaye
553,267,Anthony Martial,Anthony Martial
585,126,Seamus Coleman,Seamus Coleman
595,133,Kevin Mirallas,Kevin Mirallas
599,145,Oumar Niasse,Oumar Niasse
617,230,David Silva,David Silva
620,241,Kelechi Iheanacho,Kelechi Iheanacho
804,433,Craig Dawson,Craig Dawson
836,400,Victor Wanyama,Victor Wanyama
843,306,James Ward-Prowse,James Ward-Prowse
863,330,Jonathan Walters,Jonathan Walters
888,333,Xherdan Shaqiri,Xherdan Shaqiri
1383,643,Manolo Gabbiadini,Manolo Gabbiadini
1698,163,Abel Hernández,Abel Hernández
1709,293,Cristhian Stuani,Cristhian Stuani
1710,290,Marten de Roon,Marten de Roon
1727,558,Alfie Mawson,Alfie Mawson
1732,-1,Nolito,
1737,446,Matt Phillips,Matt Phillips
1763,552,Stefano Okaka,Stefano Okaka
314,236,Ilkay Gündogan,Ilkay Gündogan
483,214,Daniel Sturridge,Daniel Sturridge
500,21,Alex Iwobi,Alex Iwobi
512,104,Scott Dann,Scott Dann
530,103,James Tomkins,James Tomkins
533,458,Mark Noble,Mark Noble
539,469,Enner Valencia,Enner Valencia
541,92,Victor Moses,Victor Moses
579,36,Nathan Aké,Nathan Aké
587,127,Phil Jagielka,Phil Jagielka
612,222,Vincent Kompany,Vincent Kompany
719,369,Wayne Routledge,Wayne Routledge
754,186,Shinji Okazaki,Shinji Okazaki
775,120,Andros Townsend,Andros Townsend
818,575,Victor Anichebe,Victor Anichebe
839,313,Shane Long,Shane Long
840,308,Dusan Tadic,Dusan Tadic
871,-1,Bojan,
904,438,Chris Brunt,Chris Brunt
1674,466,Sofiane Feghouli,Sofiane Feghouli
1683,536,Ryan Fraser,Ryan Fraser
1690,156,Sam Clucas,Sam Clucas
1738,571,Hal Robson-Kanu,Hal Robson-Kanu
1744,150,Michael Dawson,Michael Dawson
204,24,Granit Xhaka,Granit Xhaka
458,32,Steve Cook,Steve Cook
462,43,Dan Gosling,Dan Gosling
466,38,Marc Pugh,Marc Pugh
494,3,Laurent Koscielny,Laurent Koscielny
501,26,Danny Welbeck,Danny Welbeck
508,11,Calum Chambers,Calum Chambers
519,122,Connor Wickham,Connor Wickham
529,453,Winston Reid,Winston Reid
536,461,Dimitri Payet,Dimitri Payet
568,411,José Holebas,José Holebas
588,125,Leighton Baines,Leighton Baines
590,137,Gareth Barry,Gareth Barry
602,191,Dejan Lovren,Dejan Lovren
614,-1,Fernandinho,
622,240,Wilfried Bony,Wilfried Bony
641,383,Danny Rose,Danny Rose
643,390,Eric Dier,Eric Dier
655,452,James Collins,James Collins
736,341,Younes Kaboul,Younes Kaboul
737,354,Fabio Borini,Fabio Borini
747,173,Robert Huth,Robert Huth
749,168,Christian Fuchs,Christian Fuchs
753,177,Marc Albrighton,Marc Albrighton
764,540,Daryl Janmaat,Daryl Janmaat
798,633,Martin Olsson,Martin Olsson
807,431,Jonny Evans,Jonny Evans
809,439,Darren Fletcher,Darren Fletcher
835,296,Ryan Bertrand,Ryan Bertrand
952,491,Gastón Ramírez,Gastón Ramírez
965,15,Santiago Cazorla,Santiago Cazorla
966,18,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain
1042,512,Tom Davies,Tom Davies
1126,-1,M&#039;Baye Niang,
1522,638,Andrea Ranocchia,Andrea Ranocchia
1653,58,Michael Keane,Michael Keane
1656,62,George Boyd,George Boyd
1681,187,Ahmed Musa,Ahmed Musa
1687,153,Harry Maguire,Harry Maguire
1694,164,Adama Diomande,Adama Diomande
1699,555,Shkodran Mustafi,Shkodran Mustafi
1723,539,Roberto Pereyra,Roberto Pereyra
1725,414,Christian Kabasele,Christian Kabasele
1730,405,Vincent Janssen,Vincent Janssen
1746,560,Jeff Hendrick,Jeff Hendrick
4406,206,Lazar Markovic,Lazar Markovic
5545,628,Wilfred Ndidi,Wilfred Ndidi
5549,646,Luka Milivojevic,Luka Milivojevic
332,199,Joel Matip,Joel Matip
492,6,Héctor Bellerín,Héctor Bellerín
504,16,Aaron Ramsey,Aaron Ramsey
517,113,Joe Ledley,Joe Ledley
518,109,Yannick Bolasie,Yannick Bolasie
532,459,Cheikhou Kouyaté,Cheikhou Kouyaté
542,460,Pedro Obiang,Pedro Obiang
548,254,Daley Blind,Daley Blind
550,248,Marcos Rojo,Marcos Rojo
551,264,Morgan Schneiderlin,Morgan Schneiderlin
552,262,Ander Herrera,Ander Herrera
558,266,Jesse Lingard,Jesse Lingard
566,409,Sebastian Prödl,Sebastian Prödl
567,413,Miguel Britos,Miguel Britos
573,426,Odion Ighalo,Odion Ighalo
589,136,James McCarthy,James McCarthy
605,201,Jordan Henderson,Jordan Henderson
610,221,Pablo Zabaleta,Pablo Zabaleta
611,226,Nicolás Otamendi,Nicolás Otamendi
613,223,Gaël Clichy,Gaël Clichy
621,220,Aleksandar Kolarov,Aleksandar Kolarov
627,250,Antonio Valencia,Antonio Valencia
628,244,Chris Smalling,Chris Smalling
630,257,Marouane Fellaini,Marouane Fellaini
634,121,Fraizer Campbell,Fraizer Campbell
639,382,Toby Alderweireld,Toby Alderweireld
642,391,Mousa Dembélé,Mousa Dembélé
644,393,Erik Lamela,Erik Lamela
649,396,Ryan Mason,Ryan Mason
653,397,Tom Carroll,Tom Carroll
656,470,Diafra Sakho,Diafra Sakho
660,386,Ben Davies,Ben Davies
668,488,Idrissa Gueye,Idrissa Gueye
671,629,Rudy Gestede,Rudy Gestede
672,642,Jordan Ayew,Jordan Ayew
681,77,César Azpilicueta,César Azpilicueta
697,87,Nemanja Matic,Nemanja Matic
707,361,Angel Rangel,Angel Rangel
709,359,Ashley Williams,Ashley Williams
718,358,Kyle Naughton,Kyle Naughton
728,346,Lamine Koné,Lamine Koné
734,352,Wahbi Khazri,Wahbi Khazri
742,343,Billy Jones,Billy Jones
748,167,Wes Morgan,Wes Morgan
751,-1,N&#039;Golo Kanté,
752,179,Daniel Drinkwater,Daniel Drinkwater
756,185,Leonardo Ulloa,Leonardo Ulloa
759,182,Daniel Amartey,Daniel Amartey
762,181,Demarai Gray,Demarai Gray
782,-1,Ben Chilwell,
784,178,Andy King,Andy King
789,640,Robbie Brady,Robbie Brady
814,444,James McClean,James McClean
822,553,Patrick Bamford,Patrick Bamford
825,34,Adam Smith,Adam Smith
833,303,Virgil van Dijk,Virgil van Dijk
837,309,Jordy Clasie,Jordy Clasie
842,-1,Oriol Romeu,
845,298,Maya Yoshida,Maya Yoshida
860,322,Marc Muniesa,Marc Muniesa
868,337,Mame Biram Diouf,Mame Biram Diouf
873,328,Charlie Adam,Charlie Adam
876,227,Fabian Delph,Fabian Delph
881,37,Harry Arter,Harry Arter
886,318,Ryan Shawcross,Ryan Shawcross
917,75,John Terry,John Terry
920,131,Matthew Pennington,Matthew Pennington
971,513,Harry Winks,Harry Winks
1654,56,Ben Mee,Ben Mee
1655,57,Stephen Ward,Stephen Ward
1657,525,Steven Defour,Steven Defour
1658,64,Dean Marney,Dean Marney
1659,63,Scott Arfield,Scott Arfield
1663,473,Johann Berg Gudmundsson,Johann Berg Gudmundsson
1672,526,Jonathan Calleri,Jonathan Calleri
1676,-1,David Luiz,
1688,152,Andrew Robertson,Andrew Robertson
1689,157,Jake Livermore,Jake Livermore
1692,162,Shaun Maloney,Shaun Maloney
1693,161,David Meyler,David Meyler
1695,160,Tom Huddlestone,Tom Huddlestone
1700,549,Lucas Pérez,Lucas Pérez
1701,507,Borja Bastón,Borja Bastón
1702,366,Mike van der Hoorn,Mike van der Hoorn
1707,278,Ben Gibson,Ben Gibson
1712,282,Stewart Downing,Stewart Downing
1718,275,Daniel Ayala,Daniel Ayala
1719,538,Javier Manquillo,Javier Manquillo
1720,559,Didier Ndong,Didier Ndong
1722,479,Juan Zuñiga,Juan Zuñiga
1724,424,Isaac Success,Isaac Success
1726,482,Abdoulaye Doucouré,Abdoulaye Doucouré
1734,551,Sofiane Boufal,Sofiane Boufal
1743,562,Bruno Martins Indi,Bruno Martins Indi
2144,-1,Alfred N&#039;Diaye,
4430,626,Joey Barton,Joey Barton
