Understat_ID,FPL_ID,Understat_Name,FPL_Name
453,359,Son Heung-Min,Heung-Min Son
1250,233,Mohamed Salah,Mohamed Salah
2371,579,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro
647,357,Harry Kane,Harry Kane
838,230,Sadio Mané,Sadio Mané
447,251,Kevin De Bruyne,Kevin De Bruyne
755,205,Jamie Vardy,Jamie Vardy
6854,240,Diogo Jota,Diogo Jota
522,154,Wilfried Zaha,Wilfried Zaha
618,255,Raheem Sterling,Raheem Sterling
998,78,Ivan Toney,Ivan Toney
1776,420,Jarrod Bowen,Jarrod Bowen
6818,212,James Maddison,James Maddison
750,254,Riyad Mahrez,Riyad Mahrez
7322,22,Bukayo Saka,Bukayo Saka
7696,315,Teemu Pukki,Teemu Pukki
7768,138,Mason Mount,Mason Mount
8026,196,Raphinha,Raphael Dias Belloli
8865,40,Ollie Watkins,Ollie Watkins
531,413,Michail Antonio,Michail Antonio
843,341,James Ward-Prowse,James Ward-Prowse
1228,277,Bruno Fernandes,Bruno Miguel Borges Fernandes
6026,180,Richarlison,Richarlison de Andrade
7230,21,Emile Smith-Rowe,Emile Smith Rowe
9301,450,Emmanuel Dennis,Emmanuel Dennis
3278,578,Maxwel Cornet,Maxwel Cornet
6055,265,Phil Foden,Phil Foden
314,250,Ilkay Gündogan,Ilkay Gündogan
468,296,Callum Wilson,Callum Wilson
594,529,Romelu Lukaku,Romelu Lukaku
3585,419,Said Benrahma,Saïd Benrahma
3621,63,Neal Maupay,Neal Maupay
3635,261,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva
5220,141,Kai Havertz,Kai Havertz
5543,263,Gabriel Jesus,Gabriel Fernando de Jesus
7698,64,Leandro Trossard,Leandro Trossard
8720,267,Jack Harrison,Jack Harrison
9040,144,Conor Gallagher,Conor Gallagher
986,337,Danny Ings,Danny Ings
2496,266,Rodri,Rodrigo Hernandez
2517,558,Martin Odegaard,Martin Ødegaard
